Crawler Reading page 0 0.98640894889832s
Crawler RPP:30 TOTAL:51 PAGES:2 
Crawler Reading page 1 0.78329205513s
Crawler total records:51 
N,id,title,signature,name,price,brand,category
0,"722674122054","Dragon Ball Fighter Z","7bfcb0568466b6cf78ac1ae16a194c88","dragon ball fighter z","229900","PS4","Videojuegos/PlayStation"
1,"711719506089","God of War 4 ","ee2ac105cd2dd9451bdbc7df17be7948","god of war 4","219900","PS4","Videojuegos/PlayStation"
2,"711719510529","Shadow Of The Colussus","24d2adb13d787367f74b461cacfd60fe","shadow of the colussus","179900","PS4","Videojuegos/PlayStation"
3,"013388560240","Mega Man Legacy Collection","e75c3cef03b426b8c2e90cc3bad276c2","mega man legacy collection","48000","PS4","Videojuegos/PlayStation"
4,"014633372892","Madden NFL 18","346de91b10158b6bfde02849b8273dd5","madden nfl 18","219000","PS4","Videojuegos/PlayStation"
5,"722674121040","Tekken 7","5725520197f01d43911d8f18daa14b98","tekken 7","169900","PS4","Videojuegos/PlayStation"
6,"887256028657","Just Dance 2018	","74016ae6aa5cb60a477eeb0589b569d9","just dance 2018","239000","PS4","Videojuegos/PlayStation"
7,"047875881105","Call Of Duty WW II","909e83d2f389cdbe580ad8c584b01dd2","call of duty ww ii","219900","PS4","Videojuegos/PlayStation"
8,"711719502814","Gran Turismo Sport","9dae457dbf9ba5381d340526a83121f8","gran turismo sport","219900","PS4","Videojuegos/PlayStation"
9,"711719504696","Knack 2","4044bf33d10fd016a3c4b38478f9c3cf","knack 2","179900","PS4","Videojuegos/PlayStation"
10,"047875880788","Call Of Duty Modern Warfare Remastered ","c372ca9b77cc360a4d847d257effe3f1","call of duty modern warfare remastered","199900","PS4","Videojuegos/PlayStation"
11,"047875880962","Destiny 2","8b99f49b46ddf9cdb1bfd2d2d591ef76","destiny 2","219900","PS4","Videojuegos/PlayStation"
12,"083717203209","Pro Evolution Soccer 2018","5ee04209e931a0ce6911e85353cd35fa","pro evolution soccer 2018","219900","PS4","Videojuegos/PlayStation"
13,"014633737318","Need For Speed Payback","e1ee46633e9dd36601847a078a5c7ef7","need for speed payback","219000","PS4","Videojuegos/PlayStation"
14,"014633372700","FIFA 18 Edicion Legado","b6c455adbfedd798df02f7ba0e9d48c3","fifa 18 edicion legado","219000","PS3","Videojuegos/PlayStation"
15,"014633372762","FIFA 18","f8fd3a529ec2fb57628cb00f50113c02","fifa 18","229000","PS4","Videojuegos/PlayStation/Videojuegos PlayStation"
16,"047875880825","Crash Bandicoot N-Sane Trilogy ","4bee538b3ff6317f4f297c4f601942d4","crash bandicoot nsane trilogy","149900","PS4","Videojuegos/PlayStation"
17,"722674121309","WRC 6","9b4568c2f82e32df191f15eec6d62afa","wrc 6","129900","PS4","Videojuegos/PlayStation"
18,"093155171138","Dishonored 2","678b1ed596f5a5efb7e7a2c6081cd2d7","dishonored 2","129900","PS4","Videojuegos/PlayStation"
19,"014633373035","Star Wars BATTLEFRONT II - The Last Jedi","f3b0e0232f59478bb5236ba6ae89af9d","star wars battlefront ii the last jedi","219000","PS4","Videojuegos/PlayStation"
20,"722674121101","Digimon World Next Order ","5c5ad2b26bc7977ec43b78b5dab9b57c","digimon world next order","109900","PS4","Videojuegos/PlayStation"
21,"711719503507","Horizon Zero Dawn","a9df1851ec4625eae7fd2bfc50fa68aa","horizon zero dawn","129900","PS4","Videojuegos/PlayStation"
