Crawler Reading page 0 1.1612870693207s
Crawler total records:96 
N,productId,url,brand,backendCategory,skuId,mediaAssetId,title,name,code,signature,price
0,"3254925","/falabella-co/product/3254925/Consola-PS4-Hits-Bundle-2","Sony","J11130101","3254925","3254925","Consola PS4 Hits Bundle 2","Consola PS4 Hits Bundle 2","consola ps4 hits bundle 2","a06d7b8d870618c925a1a4615ab9c73a","1599"
1,"3360773","/falabella-co/product/3360773/Videojuego-Dragon-Ball-Fighterz","Sony","J11130209","3360773","3360773","Videojuego Dragon Ball Fighterz","Dragon Ball Fighterz","dragon ball fighterz","45bfd43df9ea7266c0b313857c43f480","229990"
2,"2853564","/falabella-co/product/2853564/Videojuego-Call-of-Duty-Infinite-Warfare","PlayStation 4","J11130209","2853564","2853564","Videojuego Call of Duty Infinite Warfare","Call of Duty Infinite Warfare","call of duty infinite warfare","6b2758fc9098d19fdc02e69179474447","69900"
3,"2275216","/falabella-co/product/2275216/Videojuego-The-Last-of-Us-Remastered","PlayStation 4","J11130209","2275216","2275216","Videojuego The Last of Us Remastered","The Last of Us Remastered","the last of us remastered","652e5b3aa6a2bb84b0e7e5076b25dae0","99900"
4,"2566774","/falabella-co/product/2566774/Videojuego-Uncharted-The-Nathan-Drake-Collection","PlayStation 4","J11130209","2566774","2566774","Videojuego Uncharted The Nathan Drake Collection","Uncharted The Nathan Drake Collection","uncharted the nathan drake collection","9ab446e8f8d75b35af421ef1edbc0508","99990"
5,"2510865","/falabella-co/product/2510865/Videojuego-God-of-War-3-Remasterizado","PlayStation 4","J11130209","2510865","2510865","Videojuego God of War 3 Remasterizado","God of War 3 Remasterizado","god of war 3 remasterizado","56ed38b74fb32c6e91aef5bb50f9ddf9","99990"
6,"2546845","/falabella-co/product/2546845/Videojuego-Until-Down","PlayStation 4","J11130209","2546845","2546845","Videojuego Until Down","Until Down","until down","3a9b7a0ae59b3d7fde589157735f74cb","99990"
7,"3192415","/falabella-co/product/3192415/Videojuego-Uncharted-Lost-Legacy","Siea","J11130209","3192415","3192415","Videojuego Uncharted Lost Legacy","Uncharted Lost Legacy","uncharted lost legacy","cc5c0d74144fe34712f884750ca61aac","179900"
8,"2774940","/falabella-co/product/2774940/Videojuego-Resident-Evil-6-HD","Sony","J11130209","2774940","2774940","Videojuego Resident Evil 6 HD","Resident Evil 6 HD","resident evil 6 hd","8a002e0f320ba8a2352ca51c1a154a31","79990"
9,"2387396","/falabella-co/product/2387396/Videojuego-The-Order%3A-1886","PlayStation 4","J11130209","2387396","2387396","Videojuego The Order: 1886","The Order: 1886","the order 1886","d66e8cad18ad52bddd75448a69be5092","99900"
10,"2853561","/falabella-co/product/2853561/Videojuego-The-Last-Guardian","PlayStation 4","J11130209","2853561","2853561","Videojuego The Last Guardian","The Last Guardian","the last guardian","d2eca01c0a4949fdf2d22980d22cf34e","219900"
11,"3073246","/falabella-co/product/3073246/Videojuego-Crash-Bandicoot-Nsane-Trilogy","Sony","J11130209","3073246","3073246","Videojuego Crash Bandicoot Nsane Trilogy","Crash Bandicoot Nsane Trilogy","crash bandicoot nsane trilogy","4bee538b3ff6317f4f297c4f601942d4","119900"
12,"2825672","/falabella-co/product/2825672/Videojuego-Battlefield-1","PlayStation 4","J11130209","2825672","2825672","Videojuego Battlefield 1","Battlefield 1","battlefield 1","08410f4e5256bc37632e3d33d051b27d","88900"
13,"3224729","/falabella-co/product/3224729/Gafas-de-Realidad-Aumentada-VR","","J11130101","3224729","3224729","Gafas de Realidad Aumentada VR","Gafas de Realidad Aumentada VR","gafas de realidad aumentada vr","f021afc031e453a6b3ff2815c688f8b7","1649"
14,"2774938","/falabella-co/product/2774938/Videojuego-Call-of-Duty-Blackops-III","Sony","J11130209","2774938","2774938","Videojuego Call of Duty Blackops III","Call of Duty Blackops III","call of duty blackops iii","771d28b33f9df51f0884bd28c4241513","229990"
15,"3373223","/falabella-co/product/3373223/Videojuego-EA-Sports-UFC-3","","J11130209","3373223","3373223","Videojuego EA Sports UFC 3","EA Sports UFC 3","ea sports ufc 3","3bb470cfb59b2ad91731bc6cc841fac8","239900"
16,"2173019","/falabella-co/product/2173019/Videojuego-Infamous-Second-Son","PlayStation 4","J11130209","2173019","2173019","Videojuego Infamous Second Son","Infamous Second Son","infamous second son","cac723faa50e1cdb26db11b891ef5f0e","99990"
17,"3219338","/falabella-co/product/3219338/Consola-1TB-FIFA18","Sony","J11130101","3219338","3219338","Consola 1TB FIFA18","Consola 1TB FIFA18","consola 1tb fifa18","0539398676711e9ee7140fe688ab0e16","1599"
